Site,Group,Total Tusayan,Total Shivwits,Total Moapa,Red Ware,Other,Total,Corrugated,PercentCorrugated,TotalUpland,PercentShivwits,PercentMoapa,PercentUpland
MRS 11,MRS,292,36,59,0,24,411,46,11.2,95,8.8,14.4,23.1
MRS 4,MRS,414,52,103,3,0,572,66,11.5,155,9.1,18,27.1
MRS 31,MRS,149,9,16,1,2,177,22,12.4,25,5.1,9,14.1
MRS 30,MRS,404,109,64,2,3,582,82,14.1,173,18.7,11,29.7
MRS 32,MRS,158,23,60,1,4,246,36,14.6,83,9.3,24.4,33.7
MRS 50,MRS,74,8,34,0,3,119,18,15.1,42,6.7,28.6,35.3
MRS 54B,MRS,70,4,30,1,0,105,18,17.1,34,3.8,28.6,32.4
MRS 14,MRS,229,27,28,1,1,286,56,19.6,55,9.4,9.8,19.2
MRS 54A,MRS,166,4,89,0,25,284,56,19.7,93,1.4,31.3,32.7
MRS 62B,MRS,225,54,62,3,2,346,87,25.1,116,15.6,17.9,33.5
MRS 54C,MRS,128,5,35,0,2,170,44,25.9,40,2.9,20.6,23.5
MRS 68,MRS,91,44,12,0,0,147,42,28.6,56,29.9,8.2,38.1
MRS 60,MRS,97,5,27,0,0,129,44,34.1,32,3.9,20.9,24.8
MRS 55A,MRS,194,6,51,0,8,259,92,35.5,57,2.3,19.7,22
MRS 75,MRS,156,3,4,0,3,166,67,40.4,7,1.8,2.4,4.2
MRS 76,MRS,229,2,30,1,4,266,113,42.5,32,0.8,11.3,12
MRS 44A,MRS,128,1,18,2,0,149,67,45,19,0.7,12.1,12.8
MRS 59,MRS,132,3,13,7,39,194,98,50.5,16,1.5,6.7,8.2
MRS 58,MRS,85,2,1,1,26,115,61,53,3,1.7,0.9,2.6
